Name,DID
Mike Birbiglia,D440
Mike Cahill,D441
Mike Flanagan,D442
Mike Judge,D443
Mike Mills,D444
Mike Newell,D445
Mike Thurmeier,D446
Mira Nair,D447
Mora Stephens,D448
Morten Tyldum,D449
Nacho Vigalondo,D450
Nancy Meyers,D451
Naoko Yamada,D452
Nathan Greno,D453
Nathan Morlando,D454
Neil Burger,D455
Neil Marshall,D456
Neill Blomkamp,D457
Nic Mathieu,D458
Nicholas Stoller,D459
Nick Cassavetes,D460
Nicolas Winding Refn,D461
Niels Arden Oplev,D462
Nima Nourizadeh,D463
Nitesh Tiwari,D464
Noam Murro,D465
Oliver Stone,D466
Olivier Assayas,D467
Olivier Megaton,D468
Olivier Nakache,D469
Oriol Paulo,D470
Oz Perkins,D471
Paco Cabezas,D472
Paolo Genovese,D473
Paolo Sorrentino,D474
Pascal Laugier,D475
Patricia Riggen,D476
Patricia Rozema,D477
Patrick Hughes,D478
Patrick Read Johnson,D479
Patrick Tatopoulos,D480
Paul Feig,D481
Paul Greengrass,D482
Paul McGuigan,D483
Paul Thomas Anderson,D484
Paul Verhoeven,D485
Paul W.S. Anderson,D486
Pete Docter,D487
Pete Travis,D488
Peter Atencio,D489
Peter Berg,D490
Peter Billingsley,D491
Peter Jackson,D492
Peter Landesman,D493
Peyton Reed,D494
Phil Claydon,D495
Phil Lord,D496
Philippe Falardeau,D497
Phillip Guzman,D498
Phillip Noyce,D499
Phyllida Lloyd,D500
Pierre Coffin,D501
Pierre Morel,D502
Quentin Tarantino,D503
R.J. Cutler,D504
Rajkumar Hirani,D505
Rawson Marshall Thurber,D506
Rian Johnson,D507
Ricardo de Montreuil,D508
Rich Moore,D509
Richard Curtis,D510
Richard LaGravenese,D511
Richard Linklater,D512
Richie Smyth,D513
Rick Famuyiwa,D514
Ridley Scott,D515
Rob Cohen,D516
Rob Letterman,D517
Rob Marshall,D518
Rob Zombie,D519
Robert Eggers,D520
Robert Luketic,D521
Robert Rodriguez,D522
Robert Schwentke,D523
Robert Stromberg,D524
Robert Zemeckis,D525
Robin Swicord,D526
Roger Spottiswoode,D527
Roland Emmerich,D528
Rolfe Kanefsky,D529
Roman Polanski,D530
Ron Clements,D531
Ron Howard,D532
Ross Katz,D533
Ruben Fleischer,D534
Rupert Sanders,D535
Rupert Wyatt,D536
Ryan Coogler,D537
S. Craig Zahler,D538
S.S. Rajamouli,D539
Sam Mendes,D540
Sam Raimi,D541
Sam Taylor-Johnson,D542
Sang-ho Yeon,D543
Saul Dibb,D544
Scot Armstrong,D545
Scott Cooper,D546
Scott Derrickson,D547
Scott Frank,D548
Scott Hicks,D549
Scott Stewart,D550
Scott Waugh,D551
Sean Anders,D552
Sean Ellis,D553
Sean Foley,D554
Sean Penn,D555
Sergei Bodrov,D556
Seth Gordon,D557
Seth MacFarlane,D558
Shana Feste,D559
Shane Black,D560
Sharon Maguire,D561
Shawn Burkett,D562
Shawn Levy,D563
Simon Aboud,D564
Simon Curtis,D565
Simon Stone,D566
Simon Verhoeven,D567
Simon West,D568
So Yong Kim,D569
Sofia Coppola,D570
Spike Jonze,D571
Spike Lee,D572
Srdjan Spasojevic,D573
Stephen Chbosky,D574
Stephen Fingleton,D575
Stephen Frears,D576
Stephen Gaghan,D577
Stephen Sommers,D578
Steve McQueen,D579
Steven Brill,D580
Steven Knight,D581
Steven Quale,D582
Steven R. Monroe,D583
Steven Shainberg,D584
Steven Soderbergh,D585
Steven Spielberg,D586
Stewart Hendler,D587
Sylvester Stallone,D588
Taika Waititi,D589
Tarsem Singh,D590
Tate Taylor,D591
Taylor Hackford,D592
Terence Davies,D593
Terrence Malick,D594
Terry George,D595
Terry Gilliam,D596
Terry Jones,D597
Thea Sharrock,D598
Theodore Melfi,D599
Thomas Vinterberg,D600
Thor Freudenthal,D601
Tim Burton,D602
Tim Johnson,D603
Tim Miller,D604
Timur Bekmambetov,D605
Todd Haynes,D606
Todd Phillips,D607
Todor Chapkanov,D608
Tom Ford,D609
Tom Gormican,D610
Tom Hooper,D611
Tom McCarthy,D612
Tom McGrath,D613
Tom Six,D614
Tom Tykwer,D615
Tomas Alfredson,D616
Tony Gilroy,D617
Tony Scott,D618
Travis Knight,D619
Tyler Shields,D620
Wally Pfister,D621
Walt Dohrn,D622
Walter Hill,D623
Warren Beatty,D624
Werner Herzog,D625
Wes Anderson,D626
Wes Ball,D627
Wes Craven,D628
Whit Stillman,D629
Will Gluck,D630
Will Slocombe,D631
William Brent Bell,D632
William Oldroyd,D633
Woody Allen,D634
Xavier Dolan,D635
Yimou Zhang,D636
Yorgos Lanthimos,D637
Zack Snyder,D638
Zackary Adler,D639
