MID,AID
248,1341
248,1683
249,68
249,740
249,766
249,837
250,186
250,741
250,1349
250,2181
251,187
251,742
251,1350
251,2182
252,188
252,743
252,1351
252,2183
253,189
253,744
253,1352
253,2184
254,17
254,531
254,813
254,1606
255,175
255,745
255,1353
255,2185
256,190
256,648
256,1289
256,2167
257,86
257,746
257,957
257,2186
258,191
258,747
258,828
258,2187
259,192
259,748
259,1354
259,2188
260,193
260,749
260,1210
260,195
261,39
261,750
261,254
261,532
262,178
262,751
262,1159
262,2189
263,194
263,752
263,1355
263,2190
264,195
264,753
264,1356
264,723
265,196
265,754
265,1357
265,1245
266,49
266,755
266,1358
266,1498
267,85
267,756
267,1359
267,2112
268,54
268,757
268,833
268,696
269,74
269,758
269,674
269,2191
270,197
270,759
270,1360
270,2192
271,127
271,573
271,1361
271,1297
272,198
272,670
272,1362
272,2193
273,77
273,760
273,1363
273,110
274,199
274,761
274,1364
274,1274
275,94
275,762
275,1365
275,2194
276,126
276,763
276,532
276,1076
277,200
277,602
277,1363
277,2010
278,131
278,560
278,673
278,2195
279,201
279,764
279,948
279,29
280,67
280,651
280,704
280,2196
281,128
281,765
281,673
281,1095
282,67
282,766
282,818
282,570
283,202
283,767
283,1027
283,2197
284,11
284,692
284,1366
284,1518
285,154
285,768
285,1127
285,2198
286,203
286,769
286,935
286,2199
287,190
287,770
287,855
287,1410
288,200
288,751
288,11
288,1449
289,190
289,564
289,874
289,2200
290,204
290,593
290,1367
290,2201
291,205
291,771
291,1368
291,2202
292,22
292,772
292,786
292,2203
293,36
293,740
293,756
293,878
294,142
294,773
294,1331
294,2204
295,84
295,679
295,1232
295,2205
296,206
296,774
296,1063
296,2206
297,207
297,775
297,776
297,2207
298,15
298,645
298,1369
298,701
299,62
299,776
299,599
299,1677
300,208
300,777
300,1370
300,2208
301,34
301,778
301,878
301,1646
302,60
302,779
302,584
302,622
303,209
303,780
303,1371
303,2209
304,210
304,781
304,531
304,2210
305,211
305,782
305,1216
305,2211
306,133
306,663
306,874
306,2212
307,147
307,783
307,1006
307,561
308,153
308,784
308,1359
308,2213
309,212
309,785
309,1372
309,2214
310,58
310,786
310,623
310,1154
311,213
311,787
311,1373
311,2215
312,214
312,788
312,1374
312,2216
313,8
313,789
313,1375
313,2217
314,215
314,790
314,1362
314,305
315,92
315,631
315,1269
315,1065
316,32
316,791
316,1376
316,1013
317,216
317,792
317,1377
317,2218
318,217
318,793
318,1378
318,2219
319,218
319,794
319,1379
319,2220
320,71
320,604
320,538
320,2221
321,200
321,795
321,1380
321,2222
322,219
322,796
322,1381
322,2223
323,91
323,797
323,847
323,899
324,220
324,798
324,929
324,2224
325,128
325,799
325,548
325,428
326,71
326,800
326,1382
326,2225
327,92
327,801
327,1383
327,1053
328,221
328,802
328,1384
328,2226
329,222
329,803
329,1385
329,125
330,82
330,610
330,1386
330,2227
331,223
331,804
331,1387
331,722
332,224
332,805
332,1355
332,2228
333,4
333,591
333,529
333,1092
334,208
334,806
334,1388
334,156
335,225
335,780
335,1389
335,2229
336,226
336,807
336,654
336,2230
337,224
337,808
337,820
